,Immoweb ID,Property type,property sub-type,Price,Eur/m2,Extra,Post code,Construction year,Building condition,Living area,Kitchen type,Bedrooms,Terrace surface,Energy class,Double glazing,url address,Swimming pool,Garden surface,Garden,Surface of the plot,Municipality,Region
0,9739983,1,PENTHOUSE,476000,3051.2820512820513,,1130,2017,4,156,10.0,3.0,43.0,6.5,2.0,https://www.immoweb.be/en/classified/penthouse/for-sale/haren-(bru.)/1130/9739983?searchId=61feb42da931c,,,0.0,,haren-(bru.),Brussels Capital Region
3,9737424,1,PENTHOUSE,399000,3800.0,,1200,1992,3,105,4.0,2.0,42.0,5.0,,https://www.immoweb.be/en/classified/penthouse/for-sale/woluwe-saint-lambert/1200/9737424?searchId=61feb42da931c,0.0,,0.0,,woluwe-saint-lambert,Brussels Capital Region
4,9737272,1,PENTHOUSE,499000,3118.75,,1190,2018,4,160,10.0,3.0,11.0,6.0,2.0,https://www.immoweb.be/en/classified/penthouse/for-sale/forest/1190/9737272?searchId=61feb42da931c,0.0,,0.0,,forest,Brussels Capital Region
5,9737235,1,PENTHOUSE,1495000,7119.047619047619,,1050,2019,4,210,10.0,4.0,100.0,6.0,2.0,https://www.immoweb.be/en/classified/penthouse/for-sale/ixelles/1050/9737235?searchId=61feb42da931c,,,0.0,,ixelles,Brussels Capital Region
6,9729720,1,PENTHOUSE,179000,2841.2698412698414,,1140,1970,3,63,7.0,1.0,9.0,1.5,2.0,https://www.immoweb.be/en/classified/penthouse/for-sale/evere/1140/9729720?searchId=61feb42da931c,,,0.0,,evere,Brussels Capital Region
7,9729785,1,PENTHOUSE,255000,6071.428571428572,,8370,1976,3,42,4.0,1.0,46.0,6.5,2.0,https://www.immoweb.be/en/classified/penthouse/for-sale/blankenberge/8370/9729785?searchId=61feb42da931c,,,0.0,,blankenberge,West Flanders Province
8,9729784,1,PENTHOUSE,255000,6071.428571428572,,8370,1976,3,42,4.0,1.0,46.0,6.0,2.0,https://www.immoweb.be/en/classified/penthouse/for-sale/blankenberge/8370/9729784?searchId=61feb42da931c,,,0.0,,blankenberge,West Flanders Province
9,9729780,1,PENTHOUSE,620000,4133.333333333333,,8370,1994,3,150,4.0,3.0,70.0,5.0,2.0,https://www.immoweb.be/en/classified/penthouse/for-sale/blankenberge/8370/9729780?searchId=61feb42da931c,,,0.0,,blankenberge,West Flanders Province
10,9727201,1,PENTHOUSE,379000,3158.3333333333335,,1020,2009,3,120,10.0,2.0,110.0,1.5,,https://www.immoweb.be/en/classified/penthouse/for-sale/laeken/1020/9727201?searchId=61feb42da931c,0.0,,0.0,,laeken,Brussels Capital Region
11,9727139,1,PENTHOUSE,650000,4037.2670807453414,,1170,1979,3,161,10.0,3.0,31.0,3.0,2.0,https://www.immoweb.be/en/classified/penthouse/for-sale/watermael-boitsfort/1170/9727139?searchId=61feb42da931c,0.0,,0.0,,watermael-boitsfort,Brussels Capital Region
